zip,new_tenure,avg_contract_value,distance_in_miles,population_current,gender_male,age_median,race_white,crime_overall,households_total,households_value,households_yearbuilt,households_occupancy_owned,income_average,income_median,costs_overall,P1,P2,Rank1,N1,N2,Rank2,Symbol,city,state
20105,412.9163,402.8765,7.325388,10461,49.57,33,60.17,12,3367,574417,1998,87.41,146090,144895,116,0.648452,0.120219,3,0.042515,0.038724,0.057507,VA,Aldie,Virginia
20106,73,546,21,5333,50.07,45,93.35,79,1929,411574,1986,88.7,113019,97193,115,0.008197,0.974499,2,0.007516,0.052481,0.053017,VA,Amissville,Virginia
20109,216,405.1364,8.674773,41439,50.38,31,47.5,65,14181,298461,1984,46.36,87025,72816,93,0.078324,0.138434,1,0.02224,0.038941,0.044845,VA,Manassas,Virginia
20110,287.9863,417.3429,9.526427,47206,49.74,33,63.84,43,15275,323014,1982,66.9,101152,90521,97,0.202186,0.23133,3,0.029652,0.040115,0.049884,VA,Manassas,Virginia
20111,320.2656,443.0521,9.400104,32899,51.03,33,58.43,73,10093,346907,1982,69.38,103530,92341,94,0.269581,0.588342,3,0.032975,0.042586,0.05386,VA,Manassas,Virginia
20112,407.1093,440.5995,13.92709,27444,50.53,39,75.14,51,8535,493529,1989,92.72,152422,147697,109,0.624772,0.553734,4,0.041917,0.04235,0.059587,VA,Manassas,Virginia
20115,203,356,11.86,5603,49.21,45,88.01,77,2164,476566,1975,74.53,120874,76625,113,0.066485,0.032787,1,0.020901,0.034218,0.040097,VA,Marshall,Virginia
20119,571.9375,456,17.48,4633,50.61,42,87.6,106,1598,399324,1970,78.2,126121,108253,111,0.919854,0.714936,4,0.058888,0.04383,0.073409,VA,Catlett,Virginia
20120,306.7268,422.7135,2.732303,39935,49.15,36,57.08,55,13552,464643,1989,75.51,145116,115387,116,0.242259,0.296903,3,0.031581,0.040631,0.051461,VA,Centreville,Virginia
20121,267.8248,433.3549,4.313549,28943,49.47,32,49.3,59,10211,373675,1989,65.05,113771,95173,113,0.174863,0.435337,2,0.027576,0.041654,0.049955,VA,Centreville,Virginia
20124,318.1788,435.8953,4.592965,15838,48.92,42,75.35,54,5219,697326,1987,92.4,200139,170970,122,0.260474,0.466302,3,0.03276,0.041898,0.053185,VA,Clifton,Virginia
20132,411.7397,429.9315,22.60404,17150,49.12,38,87.85,54,5603,537439,1993,83.03,141575,124567,111,0.64663,0.387978,3,0.042394,0.041325,0.059203,VA,Purcellville,Virginia
20136,387.9245,422.3049,11.44607,26011,49.73,31,66.9,18,7500,433399,2000,89.11,142497,129211,102,0.555556,0.289617,3,0.039942,0.040592,0.056947,VA,Bristow,Virginia
20137,917,492,15.545,2322,48.83,45,90.5,71,861,525806,1986,89.45,159847,125507,126,0.98725,0.89071,5,0.094417,0.047291,0.105598,VA,Broad Run,Virginia
20141,395.3775,410.9799,24.63906,5604,49.65,38,88.8,52,1805,530033,1993,88.17,134322,128543,112,0.581056,0.169399,3,0.040709,0.039503,0.056725,VA,Round Hill,Virginia
20143,624.9,525.8,6.828,1545,51.03,43,83.85,59,489,648811,1983,93.19,195513,146755,111,0.952641,0.95082,5,0.064341,0.05054,0.081817,VA,Catharpin,Virginia
20147,414.1657,413.4385,11.23638,52857,48.52,35,66.93,26,18594,488403,1997,72.13,140913,123790,120,0.650273,0.193078,3,0.042643,0.039739,0.05829,VA,Ashburn,Virginia
20148,419.2391,390.6746,8.697864,27364,49.37,31,58.75,5,8450,566275,2002,81.47,153569,144476,116,0.668488,0.096539,3,0.043166,0.037551,0.057214,VA,Ashburn,Virginia
20151,364.6805,410.7915,1.562719,23682,49.78,36,55,61,7392,459832,1986,81.63,139644,122268,108,0.428051,0.167577,3,0.037548,0.039485,0.054488,VA,Chantilly,Virginia
20152,422.2754,402.9531,4.563455,27528,48.98,32,54.65,7,8389,537974,2000,86.98,151394,135543,113,0.684882,0.12204,3,0.043478,0.038732,0.058228,VA,Chantilly,Virginia
20155,406.5676,421.0439,11.13201,30381,49.04,37,67.13,27,10221,456538,2000,85.66,136180,123033,114,0.621129,0.273224,3,0.041861,0.04047,0.058226,VA,Gainesville,Virginia
20158,675.4412,447.1765,19.99647,4661,49.46,40,88.94,53,1568,570866,1982,87.51,147572,122378,114,0.967213,0.630237,4,0.069545,0.042982,0.081756,VA,Hamilton,Virginia
20164,383.8889,432.8025,9.59037,41868,51.06,34,52.11,62,13386,358747,1980,72.81,106380,92571,101,0.526412,0.431694,3,0.039526,0.041601,0.057384,VA,Sterling,Virginia
20165,384.2816,423.9556,11.72372,33138,48.84,37,71.51,34,11724,475018,1992,77.18,149488,131312,124,0.528233,0.313297,3,0.039567,0.04075,0.056799,VA,Sterling,Virginia
20166,371.1315,396.2069,7.086293,13834,49.57,33,44.08,27,4775,467936,2000,58.79,125416,103361,115,0.482696,0.105647,3,0.038213,0.038083,0.053949,VA,Sterling,Virginia
20169,485.6038,422.075,11.70625,21175,49.7,39,75.09,26,6920,524881,1997,90.97,149531,141508,116,0.832423,0.285974,3,0.049999,0.04057,0.064388,VA,Haymarket,Virginia
20170,498.4814,443.8772,7.69364,42530,51.37,35,54.98,31,13728,464049,1984,65.71,138425,111940,106,0.846995,0.599271,4,0.051325,0.042665,0.066742,VA,Herndon,Virginia
20171,439.9346,407.7267,3.974748,46868,49.62,36,55.05,32,16570,571895,1992,65.34,157765,139205,125,0.735883,0.149362,3,0.045297,0.03919,0.059897,VA,Herndon,Virginia
20175,374.6136,424.405,14.86661,33450,49.38,35,74.51,51,11417,506784,1991,73.56,135530,119306,112,0.497268,0.320583,3,0.038571,0.040794,0.056141,VA,Leesburg,Virginia
20176,434.9722,422.7085,16.6417,47230,48.85,36,69.17,32,15894,535380,1995,72.65,137008,120561,112,0.721311,0.295082,3,0.044786,0.04063,0.06047,VA,Leesburg,Virginia
20180,418.3679,423.2,28.88529,6598,49.48,41,92.01,60,2264,498536,1985,86.74,150578,120474,118,0.663024,0.302368,3,0.043076,0.040678,0.059247,VA,Lovettsville,Virginia
20181,507.5,423.3243,13.08865,10987,49.54,41,83.88,59,3684,458748,1984,88.87,128294,110199,111,0.857923,0.307832,3,0.052253,0.04069,0.066227,VA,Nokesville,Virginia
20186,330.5,358.25,23.26,12776,47.75,42,82.9,96,4814,412529,1978,69.7,110538,92133,112,0.304189,0.058288,3,0.034029,0.034435,0.048412,VA,Warrenton,Virginia
20187,387.888,420.2638,17.01883,16752,48.71,41,87.66,73,5787,395254,1984,81.58,121412,106446,112,0.553734,0.253188,3,0.039938,0.040395,0.056805,VA,Warrenton,Virginia
20190,660.4286,420.5714,8.167143,17903,47.62,38,66.22,91,8810,394001,1981,51.95,116789,94886,150,0.96357,0.262295,3,0.067999,0.040425,0.079108,VA,Reston,Virginia
20191,526.5753,413.012,5.757711,29525,48.39,39,64.39,84,11733,468469,1977,71.43,118453,109874,126,0.872495,0.182149,3,0.054217,0.039698,0.067197,VA,Reston,Virginia
20194,421.7791,412.2326,8.577209,13016,47.31,39,77.5,72,5543,581321,1989,70.35,157488,136707,146,0.68306,0.180328,3,0.043427,0.039624,0.058787,VA,Reston,Virginia
22003,471.2024,462.873,12.63373,57368,48.96,40,53.71,89,19740,476594,1968,67.57,120022,101615,110,0.786885,0.754098,4,0.048516,0.044491,0.065828,VA,Annandale,Virginia
22015,464.8292,442.4824,11.08553,43178,48.14,39,65.38,61,14829,479424,1979,82.2,139140,123762,118,0.774135,0.581056,4,0.04786,0.042531,0.064027,VA,Burke,Virginia
22025,309.6178,411.6812,19.96232,16314,48.46,41,65.39,48,5671,383076,1992,88.41,138804,124850,115,0.245902,0.174863,3,0.031879,0.039571,0.050814,VA,Dumfries,Virginia
22026,334.9304,409.9348,22.67739,15798,48.03,31,31.65,89,5024,314189,1989,61.65,93448,76560,82,0.318761,0.15847,3,0.034485,0.039403,0.052362,VA,Dumfries,Virginia
22027,474.2331,436.1864,11.99034,3276,49.31,37,59.52,84,1214,725580,1984,69.52,160589,167745,136,0.803279,0.473588,3,0.048828,0.041926,0.064358,VA,Dunn Loring,Virginia
22030,435.1584,435.5432,6.14893,53993,49.97,36,61.17,50,18399,536707,1982,60.37,125791,110599,110,0.723133,0.459016,3,0.044805,0.041864,0.06132,VA,Fairfax,Virginia
22031,373.02,421.29,9.7149,30699,49.67,37,55.33,74,11787,513178,1978,53.29,136019,109955,126,0.489982,0.278689,3,0.038407,0.040494,0.055811,VA,Fairfax,Virginia
22032,468.3338,441.2747,9.478407,31393,48.94,40,68.57,58,10193,513192,1974,86.67,144576,128404,114,0.783242,0.564663,4,0.048221,0.042415,0.064221,VA,Fairfax,Virginia
22033,373.021,405.979,2.876923,37643,48.49,35,59.32,65,15419,463741,1988,61.96,120240,107741,134,0.491803,0.142077,3,0.038407,0.039022,0.054753,VA,Fairfax,Virginia
22039,498.472,442.3224,12.53816,18936,49.24,46,79.15,45,6188,808021,1986,95.79,221975,192810,123,0.845173,0.579235,4,0.051324,0.042516,0.066646,VA,Fairfax Station,Virginia
22042,472.7959,482.3673,13.79449,34525,49.91,36,52.78,97,12365,444958,1964,63.14,116140,96477,113,0.795993,0.834244,4,0.04868,0.046365,0.067227,VA,Falls Church,Virginia
